_id,lid,place_id,label
1038,1,410,Cleddau Woodlands
1039,1,411,Gardens
1040,2,411,Parkland
1041,3,411,Café
1042,4,411,Car Park
1043,1,412,Countryside
1044,1,414,Works
1045,1,413,Gatehouse
1046,1,415,House
1047,2,415,Garden
1048,1,417,Mill
1049,2,417,Apprentice House
1050,3,417,Quarry Bank House
1051,4,417,Garden
1052,5,417,Estate
1053,6,417,Upper Garden Cafe
1054,7,417,Car Park
1055,8,417,Weaving Shed Restaurant
1056,9,417,Mill shop
1057,1,416,Countryside
1058,1,418,Countryside
1059,1,419,Countryside
1060,2,419,Café
1061,3,419,Visitor centre
1062,4,419,Shop
1063,5,419,Toilet
1064,1,420,Hare Hill
1065,1,422,Countryside
1066,1,421,Car Park
1067,2,421,Café
1068,3,421,Visitor Information
1069,1,423,House
1070,2,423,Church
1071,3,423,Garden
1072,4,423,Park
1073,5,423,Shop
1074,6,423,Tea-room
1075,1,424,Hall
1076,2,424,Car Park
1077,3,424,Garden
1078,4,424,Parkland
1079,5,424,Tea-room
1080,1,425,House
1081,2,425,Garden
1082,3,425,Park
1083,4,425,Car Park
1084,5,425,Crow Wood Playscape
1085,6,425,Timber Yard Café
1086,7,425,Refreshment Kiosk
1087,8,425,Hall Shop
1088,9,425,Timber Yard Shop
1089,10,425,House Tearoom
1090,11,425,Pre-loved bookshop
1091,1,426,Countryside
1092,2,426,Café
1093,3,426,Shop
1094,1,427,Garden
1095,2,427,Café
1096,3,427,Thatched Cottage
1097,1,428,House: ground floor
1098,2,428,Garden
1099,3,428,Kitchen garden
1100,4,428,Parkland and Woodland
1101,5,428,Café
1102,6,428,Conservatory Tea-Room
1103,7,428,Shop
1104,8,428,Plant centre
1105,9,428,Main car park
1106,10,428,Parkland car park
1107,11,428,Secondhand bookshop
1108,12,428,Visitor Welcome 
1109,1,429,Hezlett House
1110,2,429,Mussenden Temple
1111,3,429,Downhill Demesne Facilities
1112,4,429,Downhill Demesne Grounds
1113,1,430,Garden
1114,2,430,Art gallery
1115,3,430,House
1116,4,430,Kitchen Café
1117,5,430,Coach House Café
1118,6,430,Shop
1119,1,431,Abbey grounds
1120,2,431,Car park
1121,3,431,Abbey rooms
1122,4,431,Abbey cloisters
1123,5,431,Fox Talbot Museum
1124,6,431,Courtyard tea-room
1125,7,431,Stables café
1126,8,431,Shop
1127,9,431,Village
1128,10,431,Second-hand bookshop
1129,1,432,Countryside
1130,1,434,Dapdune Wharf
1131,2,434,Bookshop
1132,3,434,Lock keeper’s Café 
1133,4,434,Visitor centre
1134,1,433,Countryside
1135,1,435,House
1136,2,435,Garden
1137,1,436,Countryside
1138,2,436,Gibson Mill
1139,3,436,Weaving Shed Café
1140,1,437,House
1141,2,437,Café
1142,3,437,Garden
1143,4,437,Shop
1144,5,437,Secondhand bookshop
1145,1,438,Porth y Swnt
1146,2,438,Henfaes car park
1147,1,440,House
1148,2,440,Bookshop
1149,3,440,Garden
1150,4,440,Parkland
1151,5,440,Shop
1152,6,440,Squire's pantry
1153,1,439,Park
1154,2,439,Car park
1155,3,439,Boathouse Café
